origin,destination,departure_date,flight_route_number,customer
MCO,MKE,5/4/2016,443,3011
SAN,RNO,5/25/2016,490,3011
ONT,OAK,5/21/2016,243,3011
SEA,MDW,5/13/2016,507,3011
ATL,MDW,5/18/2016,594,3011
DEN,SAN,5/6/2016,557,3011
TUS,MDW,5/4/2016,645,3011
BWI,MHT,5/23/2016,423,3013
SEA,SNA,5/9/2016,528,3015
BDL,RSW,5/28/2016,305,3015
MCI,DAL,5/12/2016,284,3015
LAS,SMF,5/14/2016,390,3015
ISP,TPA,5/6/2016,449,3015
DAL,BHM,5/20/2016,143,3016
ATL,TPA,5/16/2016,437,3016
LAS,DEN,5/17/2016,557,3016
HOU,MSY,5/7/2016,156,3016
LAS,SEA,5/21/2016,86,3016
MDW,IND,5/23/2016,351,3016
OAK,PHX,5/22/2016,249,3016
MCO,BDL,5/18/2016,647,3017
PHX,SAN,5/7/2016,85,3017
MCO,MCI,5/1/2016,268,3017
STL,DTW,5/2/2016,441,3017
SMF,SAN,5/4/2016,489,3017
SMF,SAN,5/6/2016,179,3017
HOU,SAN,5/4/2016,547,3018
SMF,LAX,5/13/2016,196,3018
CUN,DEN,5/19/2016,188,3018
MDW,HOU,5/7/2016,285,3018
LAS,PHX,5/30/2016,159,3018
OAK,PHX,5/12/2016,633,3020
LAS,BUR,5/4/2016,478,3020
BNA,CLE,5/19/2016,121,3022
SMF,PDX,5/1/2016,103,3022
MSY,BNA,5/23/2016,15,3022
HOU,DAL,5/10/2016,2,3022
SAN,SMF,5/1/2016,68,3022
TUS,LAX,5/10/2016,536,3022
PHX,ONT,5/31/2016,645,3022
PVD,MDW,5/18/2016,160,3022
RDU,MCO,5/5/2016,413,3022
DAL,LIT,5/3/2016,1,3022
LAX,LAS,5/22/2016,170,3023
SNA,SFO,5/18/2016,344,3023
MSY,MCO,5/13/2016,369,3023
SJC,PHX,5/25/2016,482,3023
ATL,DCA,5/2/2016,131,3023
BWI,BHM,5/3/2016,9,3023
DAL,SLC,5/22/2016,319,3023
SAN,BWI,5/7/2016,634,3025
MSY,DCA,5/4/2016,345,3025
STL,LAX,5/7/2016,436,3025
RDU,MCO,5/6/2016,474,3025
LAS,SJC,5/1/2016,550,3025
ATL,DCA,5/28/2016,141,3025
DCA,STL,5/2/2016,365,3025
DCA,HOU,5/19/2016,361,3026
LAS,STL,5/6/2016,189,3026
DEN,ABQ,5/5/2016,155,3026
BOS,ATL,5/8/2016,154,3026
DAL,ELP,5/30/2016,7,3026
PHX,RDU,5/27/2016,645,3026
BWI,PBI,5/11/2016,504,3026
DAL,DCA,5/16/2016,314,3026
SEA,MDW,5/29/2016,412,3026
PBI,ATL,5/17/2016,452,3026
MCO,ATL,5/4/2016,112,3026
STL,LAS,5/31/2016,506,3027
BWI,MCI,5/11/2016,303,3027
PHX,SDF,5/17/2016,290,3027
AUS,FLL,5/8/2016,186,3027
LAS,BOI,5/2/2016,507,3027
BWI,FLL,5/18/2016,91,3027
LAS,MKE,5/9/2016,547,3027
FLL,BDL,5/11/2016,565,3027
STL,DAL,5/19/2016,65,3027
OAK,LAS,5/21/2016,257,3027
BWI,BOS,5/16/2016,492,3027
TPA,PHL,5/20/2016,573,3027
ATL,LGA,5/9/2016,392,3027
LAS,LAX,5/8/2016,342,3027
ALB,BWI,5/13/2016,222,3027
MCI,DAL,5/22/2016,284,3027
SAN,SFO,5/31/2016,30,3030
HOU,DAL,5/14/2016,16,3030
PHX,SMF,5/2/2016,442,3030
MCO,BWI,5/24/2016,49,3030
LAX,SMF,5/21/2016,531,3032
SJU,MCO,5/7/2016,345,3032
CUN,ATL,5/22/2016,125,3032
TPA,PHX,5/16/2016,568,3032
STL,LAS,5/5/2016,414,3032
PIT,BWI,5/24/2016,95,3033
RSW,ATL,5/31/2016,97,3033
SDF,BWI,5/17/2016,216,3034
HOU,DAL,5/1/2016,170,3034
CMH,RSW,5/25/2016,205,3034
PNS,BNA,5/10/2016,384,3034
LAX,SAT,5/15/2016,209,3034
ATL,GSP,5/27/2016,37,3034
AUS,HOU,5/3/2016,315,3034
MSY,BNA,5/3/2016,15,3034
SNA,STL,5/15/2016,189,3035
PHX,OMA,5/15/2016,289,3035
ATL,MDW,5/16/2016,304,3035
MCO,CMH,5/8/2016,501,3035
DCA,MDW,5/27/2016,304,3035
SNA,SJC,5/11/2016,440,3035
SEA,DEN,5/17/2016,520,3035
DAL,MDW,5/10/2016,646,3035
SAN,SMF,5/24/2016,152,3035
MDW,HOU,5/6/2016,300,3037
LAS,MKE,5/31/2016,250,3037
DEN,MDW,5/17/2016,409,3037
BUR,SJC,5/16/2016,271,3037
AUS,MSY,5/28/2016,434,3037
ONT,SJC,5/1/2016,621,3037
SLC,PHX,5/27/2016,281,3038
LAX,BNA,5/30/2016,204,3038
PHX,SAN,5/16/2016,595,3038
RDU,HOU,5/5/2016,471,3038
BWI,PVD,5/4/2016,239,3038
DAL,ABQ,5/12/2016,42,3038
DAL,PHX,5/25/2016,543,3039
RNO,LAX,5/13/2016,194,3039
DEN,PHX,5/10/2016,162,3039
IND,LAS,5/1/2016,105,3039
SAT,BNA,5/3/2016,498,3039
BWI,LAX,5/23/2016,599,3039
DCA,ATL,5/17/2016,246,3039
OAK,SAN,5/16/2016,259,3039
ELP,DAL,5/9/2016,4,3039
MCO,DEN,5/2/2016,574,3039
STL,MCO,5/3/2016,66,3039
MCO,BNA,5/4/2016,347,3041
IND,MDW,5/4/2016,471,3041
SMF,ONT,5/3/2016,446,3041
LAS,BWI,5/12/2016,207,3041
STL,BWI,5/16/2016,295,3041
STL,SNA,5/24/2016,142,3041
DAL,STL,5/9/2016,46,3041
IND,ATL,5/15/2016,321,3041
CMH,BNA,5/28/2016,84,3041
MSY,BNA,5/3/2016,630,3041
STL,HOU,5/17/2016,383,3041
BWI,ORF,5/11/2016,423,3041
SFO,DAL,5/12/2016,641,3041
SMF,BOI,5/22/2016,248,3041
DEN,MSP,5/12/2016,277,3043
BWI,RSW,5/14/2016,580,3043
PHX,SMF,5/30/2016,110,3043
DAL,SAN,5/10/2016,545,3043
BWI,MCI,5/6/2016,387,3043
DEN,HOU,5/31/2016,371,3043
SMF,SNA,5/19/2016,291,3043
HOU,BNA,5/27/2016,55,3043
MDW,EWR,5/26/2016,235,3043
RNO,LAX,5/20/2016,490,3043
OKC,DEN,5/15/2016,85,3043
DEN,SMF,5/12/2016,101,3043
TPA,MCI,5/27/2016,359,3043
RSW,PIT,5/28/2016,59,3043
HOU,BWI,5/22/2016,218,3045
BOS,MDW,5/21/2016,144,3045
MDW,MSP,5/11/2016,244,3045
BWI,HOU,5/30/2016,13,3045
CUN,HOU,5/20/2016,418,3045
DAL,RDU,5/28/2016,141,3045
HOU,DEN,5/29/2016,170,3045
LAX,OAK,5/13/2016,260,3045
HOU,BNA,5/5/2016,282,3045
SJC,SAN,5/5/2016,94,3045
OAK,DAL,5/30/2016,640,3045
DAL,SAT,5/26/2016,336,3045
DAL,MCO,5/24/2016,543,3048
ATL,DAL,5/27/2016,350,3048
BWI,MHT,5/15/2016,146,3048
SNA,SJC,5/7/2016,325,3048
DAL,SAN,5/9/2016,545,3048
AUS,HRL,5/16/2016,85,3048
MDW,BUF,5/2/2016,364,3050
STL,BWI,5/20/2016,121,3050
TUS,LAS,5/24/2016,533,3050
FLL,ISP,5/23/2016,164,3050
DTW,ATL,5/3/2016,372,3050
TPA,MDW,5/3/2016,593,3050
LAX,SMF,5/27/2016,244,3050
MCO,GRR,5/28/2016,175,3050
MDW,MCO,5/9/2016,446,3050
IND,BWI,5/2/2016,23,3053
PIT,HOU,5/26/2016,103,3053
BUR,OAK,5/3/2016,310,3053
SAN,OAK,5/24/2016,403,3053
LAS,RNO,5/21/2016,391,3053
BOS,AUS,5/18/2016,462,3053
IND,HOU,5/17/2016,27,3053
OAK,LAS,5/3/2016,93,3053
ATL,CAK,5/10/2016,79,3053
ATL,OAK,5/2/2016,631,3053
HOU,DAL,5/21/2016,3,3053
SMF,BUR,5/10/2016,271,3053
BNA,DCA,5/29/2016,121,3053
DEN,MSP,5/13/2016,277,3053
DAL,STL,5/17/2016,138,3054
BNA,DTW,5/9/2016,429,3054
ATL,AUS,5/1/2016,417,3054
PDX,PHX,5/28/2016,452,3054
MCI,LGA,5/30/2016,121,3054
SJC,BUR,5/5/2016,224,3054
DTW,MDW,5/17/2016,371,3054
LAS,CMH,5/20/2016,613,3054
SLC,DEN,5/24/2016,502,3054
DCA,BNA,5/16/2016,368,3054
HOU,LAX,5/17/2016,106,3054
DEN,MSY,5/27/2016,632,3054
HOU,OKC,5/11/2016,518,3054
LAS,PDX,5/8/2016,48,3054
MDW,FNT,5/30/2016,250,3054
LAS,ELP,5/26/2016,473,3054
DAL,HOU,5/21/2016,88,3054
TUL,DEN,5/22/2016,35,3056
MCO,PIT,5/13/2016,369,3056
PVD,BWI,5/6/2016,467,3056
SAN,LAS,5/9/2016,527,3056
CMH,BOS,5/15/2016,299,3056
LAX,SAT,5/27/2016,209,3056
EWR,STL,5/27/2016,381,3056
DCA,DAL,5/16/2016,360,3056
PDX,SJC,5/12/2016,457,3056
BOS,ATL,5/25/2016,83,3056
BNA,MCI,5/9/2016,55,3056
MDW,MCO,5/15/2016,617,3056
BWI,DEN,5/10/2016,578,3056
PHX,LAX,5/26/2016,510,3056
BNA,LAS,5/8/2016,442,3056
IND,MCI,5/11/2016,363,3058
SJC,LAX,5/1/2016,57,3058
OAK,ABQ,5/20/2016,385,3058
PHL,MCO,5/7/2016,39,3058
LAS,LBB,5/19/2016,351,3058
MSY,BWI,5/21/2016,433,3058
RDU,ATL,5/22/2016,128,3058
PHX,BOI,5/1/2016,93,3058
BNA,TPA,5/15/2016,338,3060
TUL,PHX,5/3/2016,530,3060
HOU,DCA,5/17/2016,280,3060
LAX,RNO,5/8/2016,134,3060
STL,PHL,5/27/2016,393,3060
PBI,ATL,5/13/2016,215,3060
TUS,LAX,5/24/2016,533,3060
ATL,STL,5/27/2016,37,3060
DAL,BHM,5/25/2016,311,3060
OAK,MCI,5/5/2016,341,3060
DEN,OKC,5/22/2016,418,3060
PHX,STL,5/25/2016,256,3060
MDW,LAS,5/5/2016,570,3060
DEN,OKC,5/21/2016,295,3060
SAN,SFO,5/11/2016,33,3061
SMF,SNA,5/25/2016,244,3061
ATL,DCA,5/19/2016,353,3061
MCO,HOU,5/26/2016,621,3061
ROC,TPA,5/11/2016,308,3061
TPA,MSY,5/21/2016,149,3061
MCO,ISP,5/24/2016,214,3061
BOS,HOU,5/5/2016,336,3061
FLL,PHX,5/23/2016,222,3061
SAN,SMF,5/8/2016,181,3061
DAL,BWI,5/13/2016,142,3061
TPA,MHT,5/19/2016,418,3061
PHX,OAK,5/22/2016,49,3061
SAT,DAL,5/23/2016,5,3062
MCO,HOU,5/11/2016,621,3063
ATL,PIT,5/9/2016,380,3064
MDW,DEN,5/26/2016,518,3064
MCO,BWI,5/9/2016,19,3064
STL,TPA,5/10/2016,24,3064
CMH,MDW,5/5/2016,610,3064
LAX,HOU,5/23/2016,528,3064
DEN,SAT,5/28/2016,495,3064
BWI,CLE,5/9/2016,305,3064
PHX,SLC,5/18/2016,502,3064
OAK,SNA,5/6/2016,260,3067
MSY,HOU,5/9/2016,310,3067
TPA,FLL,5/23/2016,402,3067
MSY,HOU,5/13/2016,165,3067
BHM,TPA,5/7/2016,128,3068
PHX,SAN,5/11/2016,258,3068
BOS,IND,5/24/2016,80,3068
PHX,BOI,5/5/2016,74,3068
MDW,TPA,5/11/2016,532,3068
SAN,MCI,5/18/2016,486,3068
HOU,MDW,5/20/2016,237,3068
BDL,FLL,5/2/2016,325,3068
DAL,LIT,5/30/2016,370,3068
STL,MCI,5/9/2016,257,3068
SDF,MDW,5/13/2016,443,3068
MDW,MCO,5/27/2016,617,3068
SJC,PDX,5/5/2016,176,3068
MCI,MSP,5/18/2016,387,3068
BNA,MCO,5/17/2016,130,3068
LAS,SJC,5/31/2016,446,3068
LAS,PDX,5/8/2016,193,3068
RSW,IND,5/13/2016,395,3069
ONT,OAK,5/21/2016,525,3069
DEN,OMA,5/5/2016,507,3069
MCO,PIT,5/6/2016,20,3069
RNO,SAN,5/4/2016,522,3069
MDW,PIT,5/8/2016,375,3069
BNA,MCI,5/27/2016,55,3070
DEN,TUS,5/10/2016,426,3070
BWI,IND,5/29/2016,468,3070
DAL,SEA,5/8/2016,546,3070
BWI,RSW,5/31/2016,40,3070
TPA,DEN,5/18/2016,92,3070
BNA,DCA,5/27/2016,518,3072
MCO,GRR,5/10/2016,353,3072
MEX,HOU,5/8/2016,423,3072
RNO,LAS,5/11/2016,480,3072
SMF,SAN,5/9/2016,182,3072
LAS,SMF,5/3/2016,607,3072
SLC,LAS,5/16/2016,408,3072
IND,DEN,5/15/2016,40,3072
HOU,DAL,5/3/2016,165,3072
SMF,ONT,5/22/2016,287,3072
DEN,IAD,5/21/2016,226,3072
LAS,SMF,5/21/2016,196,3072
ATL,TPA,5/24/2016,223,3072
PHX,SNA,5/3/2016,136,3072
LAS,BWI,5/6/2016,521,3072
MCO,BNA,5/27/2016,347,3072
HOU,SJO,5/13/2016,278,3072
TPA,ROC,5/1/2016,132,3072
DTW,BWI,5/28/2016,217,3072
FLL,DAL,5/15/2016,328,3073
DEN,ABQ,5/25/2016,391,3073
BOI,SMF,5/12/2016,334,3073
LAS,SLC,5/25/2016,506,3073
MDW,FLL,5/3/2016,574,3073
IND,ATL,5/14/2016,13,3073
MSY,BNA,5/26/2016,15,3074
DEN,PDX,5/23/2016,627,3075
DEN,SEA,5/11/2016,76,3075
SAN,MDW,5/24/2016,620,3075
HOU,DAL,5/23/2016,54,3075
HOU,MAF,5/12/2016,275,3075
SJC,PHX,5/23/2016,150,3075
MSY,DEN,5/29/2016,142,3075
ABQ,LAX,5/25/2016,521,3075
DEN,SMF,5/17/2016,576,3075
SFO,PHX,5/10/2016,511,3075
BDL,MDW,5/17/2016,637,3075
MCO,EWR,5/23/2016,211,3075
SMF,LAS,5/11/2016,445,3075
DAL,BWI,5/26/2016,142,3075
CHS,BWI,5/14/2016,324,3075
SNA,SJC,5/8/2016,357,3075
SAN,SEA,5/24/2016,596,3077
LAX,SMF,5/19/2016,244,3077
PHX,RDU,5/12/2016,645,3077
EWR,MCO,5/13/2016,108,3077
ATL,BOS,5/30/2016,41,3077
PHX,SFO,5/30/2016,581,3078
MCO,MDW,5/29/2016,394,3080
CRP,HOU,5/30/2016,83,3080
PHX,MDW,5/19/2016,623,3080
ATL,FLL,5/27/2016,64,3081
PHX,SAN,5/4/2016,43,3081
TUS,LAX,5/27/2016,358,3081
BOI,DEN,5/9/2016,50,3081
FLL,ISP,5/20/2016,399,3081
SJC,SAN,5/24/2016,94,3081
STL,PHX,5/26/2016,240,3081
DAL,DEN,5/15/2016,217,3081
DEN,SMF,5/28/2016,544,3083
PHX,LAS,5/9/2016,488,3083
DAL,MDW,5/12/2016,545,3083
ATL,MSP,5/30/2016,456,3083
ATL,DAL,5/17/2016,108,3083
STL,LAX,5/13/2016,363,3083
ABQ,LAS,5/16/2016,61,3083
SLC,LAX,5/15/2016,95,3083
ATL,FLL,5/14/2016,357,3083
HOU,LAX,5/26/2016,500,3083
SEA,PHX,5/31/2016,256,3083
PBI,BWI,5/21/2016,402,3083
OAK,LAS,5/17/2016,93,3083
MCO,CMH,5/12/2016,15,3083
ATL,TPA,5/31/2016,138,3083
SJC,BUR,5/1/2016,148,3083
MSP,MKE,5/10/2016,367,3085
BNA,BWI,5/12/2016,53,3085
DAL,SAT,5/15/2016,235,3085
MCI,BWI,5/26/2016,419,3085
STL,CMH,5/26/2016,436,3085
MSP,MKE,5/5/2016,387,3085
MDW,SAT,5/27/2016,113,3085
HOU,MSY,5/26/2016,147,3086
MCO,BNA,5/12/2016,117,3086
SNA,SJD,5/8/2016,285,3086
HRL,HOU,5/29/2016,385,3086
SFO,PHX,5/19/2016,465,3086
TPA,MDW,5/5/2016,436,3086
PIT,BWI,5/15/2016,614,3086
CLE,BWI,5/20/2016,303,3086
BNA,ECP,5/16/2016,427,3086
LAS,MDW,5/22/2016,562,3088
TUL,LAS,5/15/2016,530,3088
MSY,DAL,5/21/2016,1,3088
ABQ,PHX,5/24/2016,195,3088
PHX,SMF,5/6/2016,380,3088
HOU,DAL,5/5/2016,21,3088
DEN,SAN,5/25/2016,315,3088
PHX,SAN,5/29/2016,67,3088
HOU,BHM,5/4/2016,358,3088
PHX,SAT,5/9/2016,361,3089
BWI,BDL,5/30/2016,420,3089
HOU,DAL,5/17/2016,278,3089
ISP,BWI,5/5/2016,161,3089
SDF,BWI,5/1/2016,472,3089
DAL,LIT,5/21/2016,397,3089
MDW,LAS,5/6/2016,600,3089
MCO,MKE,5/20/2016,475,3089
HOU,AUS,5/6/2016,88,3089
SMF,LAS,5/18/2016,539,3089
SMF,SAN,5/10/2016,152,3089
RNO,LAS,5/31/2016,446,3089
MDW,LGA,5/15/2016,364,3089
ABQ,SAN,5/18/2016,45,3089
HOU,AUS,5/1/2016,264,3089
SJC,SNA,5/16/2016,439,3089
MCO,DCA,5/22/2016,466,3089
DEN,SNA,5/20/2016,420,3089
LAS,SAT,5/28/2016,151,3089
IND,RSW,5/28/2016,393,3089
DAL,ATL,5/20/2016,353,3089
OAK,LAS,5/8/2016,584,3089
OMA,DCA,5/27/2016,330,3089
ATL,DAL,5/8/2016,221,3091
BWI,BNA,5/14/2016,472,3091
SMF,SAN,5/30/2016,119,3091
DEN,SEA,5/3/2016,76,3091
TPA,DEN,5/15/2016,561,3091
STL,ATL,5/26/2016,138,3091
ELP,DAL,5/18/2016,6,3091
SAN,DEN,5/30/2016,385,3092
HOU,BHM,5/12/2016,318,3092
PDX,DAL,5/16/2016,252,3092
TPA,MDW,5/12/2016,465,3092
HOU,STL,5/1/2016,447,3092
SEA,SMF,5/11/2016,261,3092
FLL,DEN,5/7/2016,163,3093
MDW,TPA,5/13/2016,485,3094
BNA,SAT,5/18/2016,26,3094
ATL,PIT,5/10/2016,379,3094
PDX,MDW,5/26/2016,627,3094
SEA,MDW,5/5/2016,139,3094
SAT,DAL,5/22/2016,133,3094
AUS,HOU,5/18/2016,69,3094
MDW,MCI,5/17/2016,113,3094
STL,LAS,5/9/2016,592,3094
PHX,DTW,5/17/2016,385,3094
SAN,MDW,5/5/2016,377,3094
DEN,LAX,5/20/2016,180,3094
SJU,TPA,5/10/2016,335,3094
DEN,ATL,5/21/2016,155,3094
PHX,LAS,5/31/2016,190,3094
MDW,HOU,5/4/2016,301,3094
BWI,PIT,5/16/2016,89,3095
SJC,DEN,5/2/2016,282,3095
ROC,BWI,5/5/2016,463,3095
OMA,MDW,5/17/2016,374,3095
BDL,BWI,5/20/2016,398,3095
BNA,BWI,5/1/2016,127,3095
STL,FLL,5/27/2016,56,3095
RNO,LAS,5/16/2016,444,3095
MDW,PHL,5/22/2016,221,3096
SNA,PHX,5/31/2016,519,3096
PIT,PHX,5/18/2016,460,3096
MSY,DAL,5/10/2016,6,3096
MDW,BOS,5/14/2016,504,3096
LAX,SJC,5/2/2016,149,3096
LAS,PDX,5/12/2016,253,3096
IND,MDW,5/13/2016,473,3096
IND,FLL,5/5/2016,351,3096
SMF,SAN,5/2/2016,22,3096
STL,MKE,5/6/2016,156,3096
MCO,SJU,5/2/2016,373,3096
SJO,HOU,5/11/2016,518,3096
MSY,MCI,5/23/2016,486,3096
PDX,OAK,5/5/2016,67,3096
MCO,AUS,5/29/2016,632,3097
PIT,MCO,5/10/2016,190,3097
ATL,MCO,5/3/2016,255,3097
MDW,IND,5/8/2016,252,3097
SJU,MCO,5/28/2016,563,3097
BWI,ALB,5/25/2016,206,3097
HOU,LAX,5/16/2016,298,3098
HOU,DAL,5/22/2016,6,3098
SNA,SFO,5/7/2016,150,3098
TPA,MCI,5/6/2016,359,3098
BNA,BWI,5/28/2016,409,3098
CLE,BWI,5/27/2016,426,3098
MDW,MBJ,5/27/2016,226,3098
SAT,PHX,5/17/2016,31,3098
SJC,PHX,5/29/2016,17,3098
STL,PHL,5/16/2016,461,3098
MSY,PHX,5/17/2016,107,3102
LAS,MCI,5/8/2016,638,3105
BUR,LAS,5/4/2016,164,3105
DAL,CMH,5/3/2016,412,3106
OAK,HOU,5/20/2016,21,3106
SAN,MCI,5/20/2016,486,3106
SMF,SAN,5/5/2016,356,3106
DCA,CMH,5/19/2016,425,3106
PHX,PIT,5/28/2016,251,3106
DAL,HOU,5/26/2016,177,3106
SMF,BOI,5/16/2016,488,3106
TUS,DEN,5/5/2016,531,3106
PVD,MCO,5/28/2016,468,3106
ATL,BWI,5/17/2016,450,3106
MDW,MSP,5/20/2016,294,3108
DEN,LAS,5/2/2016,404,3108
MDW,MSP,5/9/2016,296,3108
SLC,PHX,5/6/2016,282,3108
MDW,OAK,5/10/2016,598,3109
BWI,ROC,5/23/2016,307,3109
PHX,BUF,5/19/2016,430,3110
MCI,MKE,5/23/2016,362,3110
OAK,CMH,5/25/2016,270,3110
DAL,MDW,5/27/2016,544,3110
ONT,DEN,5/26/2016,447,3110
MDW,ATL,5/18/2016,360,3110
BDL,BWI,5/24/2016,327,3110
MDW,LAS,5/17/2016,563,3110
STL,HOU,5/11/2016,384,3110
LAS,OAK,5/11/2016,75,3110
PVD,BWI,5/15/2016,553,3110
SNA,SJC,5/30/2016,288,3110
LAS,BUR,5/9/2016,119,3110
MDW,DTW,5/24/2016,348,3110
MCO,SAT,5/5/2016,60,3110
MSY,DAL,5/17/2016,6,3110
MDW,SDF,5/24/2016,232,3110
MSP,BWI,5/28/2016,327,3110
HOU,OKC,5/14/2016,319,3111
BHM,MDW,5/2/2016,142,3111
BWI,STL,5/20/2016,126,3113
MCO,SJU,5/28/2016,214,3113
ALB,BWI,5/22/2016,586,3113
ONT,SJC,5/29/2016,526,3113
OAK,HOU,5/18/2016,21,3113
DEN,SJD,5/17/2016,247,3113
DEN,ATL,5/27/2016,223,3113
MDW,PVD,5/3/2016,618,3116
SEA,OAK,5/5/2016,526,3116
GRR,MDW,5/20/2016,265,3116
BOI,DEN,5/28/2016,331,3117
SAN,BNA,5/24/2016,566,3117
AUS,BWI,5/3/2016,460,3117
SMF,MDW,5/2/2016,297,3117
SAN,SJC,5/15/2016,411,3117
LAS,SLC,5/12/2016,409,3117
LAS,STL,5/23/2016,192,3117
SAN,MDW,5/24/2016,637,3117
MSY,MDW,5/20/2016,431,3117
LAS,LAX,5/11/2016,162,3119
PHX,SLC,5/3/2016,382,3119
OKC,PHX,5/3/2016,464,3119
DAL,FLL,5/2/2016,604,3119
BOS,CMH,5/7/2016,337,3119
PHX,SFO,5/1/2016,45,3119
PHX,PIT,5/25/2016,515,3119
BWI,ATL,5/29/2016,71,3120
FLL,TPA,5/16/2016,163,3120
PHX,MDW,5/19/2016,277,3120
MDW,MCO,5/3/2016,321,3120
PDX,SNA,5/13/2016,176,3120
PBI,BWI,5/7/2016,451,3120
RNO,PHX,5/6/2016,631,3120
PHX,MDW,5/11/2016,555,3120
SJU,MCO,5/1/2016,290,3121
ATL,MSY,5/23/2016,480,3121
DEN,SEA,5/17/2016,101,3121
ALB,BWI,5/26/2016,597,3121
BUR,SMF,5/11/2016,330,3121
DEN,AUS,5/18/2016,324,3121
MDW,LAS,5/4/2016,570,3122
JAX,BNA,5/27/2016,373,3122
LAS,IND,5/17/2016,524,3122
HOU,BHM,5/9/2016,360,3122
TPA,MDW,5/29/2016,431,3122
MDW,PHL,5/24/2016,384,3122
MKE,BWI,5/31/2016,397,3122
SJU,MCO,5/11/2016,249,3122
SJD,SNA,5/8/2016,285,3122
PVR,HOU,5/5/2016,420,3122
ATL,LAX,5/8/2016,127,3122
MDW,DTW,5/12/2016,349,3122
MDW,ATL,5/1/2016,358,3122
LAS,LAX,5/12/2016,90,3122
MCO,BWI,5/14/2016,402,3122
ATL,AUS,5/7/2016,87,3122
AUS,DAL,5/24/2016,320,3122
MDW,BWI,5/30/2016,235,3122
ATL,RDU,5/10/2016,351,3122
DAL,DCA,5/8/2016,315,3122
BWI,PVD,5/30/2016,307,3122
LGA,ATL,5/27/2016,411,3123
ONT,OAK,5/25/2016,73,3123
SMF,LAS,5/2/2016,538,3123
DEN,PDX,5/22/2016,55,3123
SAT,DAL,5/12/2016,44,3123
LAS,SAN,5/18/2016,375,3124
HOU,DCA,5/23/2016,284,3124
LIT,STL,5/7/2016,415,3124
MDW,JAX,5/10/2016,136,3124
GRR,MCO,5/19/2016,397,3124
PHX,DEN,5/15/2016,538,3125
DAL,HOU,5/23/2016,6,3126
MDW,MCI,5/13/2016,229,3126
LIR,LAX,5/18/2016,415,3126
HOU,OAK,5/17/2016,366,3126
HOU,PHX,5/11/2016,629,3126
MHT,MCO,5/19/2016,618,3126
ATL,BWI,5/19/2016,48,3127
BWI,MSP,5/12/2016,430,3127
OAK,SAN,5/24/2016,258,3127
ATL,STL,5/3/2016,498,3129
OAK,SEA,5/12/2016,441,3129
LAS,BHM,5/9/2016,238,3129
IAD,LAS,5/21/2016,398,3129
HOU,MSY,5/20/2016,139,3129
BWI,ATL,5/31/2016,132,3129
SFO,LAS,5/28/2016,508,3129
ELP,SAT,5/2/2016,81,3129
BWI,MCO,5/6/2016,596,3130
EWR,AUS,5/28/2016,378,3130
HOU,RDU,5/1/2016,436,3130
MCI,DAL,5/25/2016,228,3132
SAN,SMF,5/17/2016,152,3132
LAS,BUF,5/22/2016,572,3132
ABQ,MDW,5/4/2016,311,3132
OAK,BOI,5/25/2016,525,3132
MDW,FNT,5/16/2016,112,3132
SEA,PHX,5/30/2016,175,3134
BWI,CHS,5/19/2016,263,3134
SFO,DEN,5/9/2016,494,3134
ABQ,LAS,5/4/2016,523,3134
MCI,PHX,5/26/2016,61,3134
HOU,BOS,5/13/2016,164,3134
SJO,HOU,5/1/2016,517,3134
HOU,BNA,5/19/2016,426,3134
BWI,PWM,5/6/2016,461,3134
STL,MCO,5/2/2016,115,3135
LAS,BWI,5/10/2016,586,3135
PVD,MCO,5/25/2016,227,3135
DAL,MDW,5/1/2016,546,3136
DAL,HOU,5/18/2016,298,3136
MDW,PHL,5/18/2016,384,3136
FLL,ISP,5/29/2016,398,3136
MAF,HOU,5/3/2016,414,3136
AUS,SAN,5/31/2016,539,3136
FLL,BWI,5/30/2016,64,3136
SJC,SAN,5/7/2016,389,3136
FLL,PIT,5/7/2016,355,3136
BNA,PNS,5/25/2016,368,3136
FLL,MSY,5/16/2016,165,3136
ATL,FLL,5/13/2016,514,3136
LIR,LAX,5/26/2016,415,3136
MDW,OAK,5/30/2016,634,3138
BOS,CMH,5/16/2016,338,3138
DEN,PHX,5/26/2016,63,3138
BUF,MDW,5/21/2016,608,3138
MCI,ATL,5/23/2016,60,3138
MDW,MCI,5/2/2016,449,3138
IND,DAL,5/17/2016,107,3138
DEN,LAX,5/14/2016,495,3142
MCO,BWI,5/14/2016,567,3142
MDW,MSP,5/30/2016,246,3142
MCO,HOU,5/30/2016,574,3143
SAT,TPA,5/10/2016,116,3143
PHX,BWI,5/26/2016,635,3143
LAX,STL,5/9/2016,359,3143
ABQ,PHX,5/7/2016,103,3143
SAN,MDW,5/12/2016,620,3143
MSP,PHX,5/23/2016,243,3143
RNO,LAX,5/25/2016,315,3143
CMH,MDW,5/9/2016,237,3143
MHT,TPA,5/19/2016,422,3144
STL,AUS,5/4/2016,288,3144
MDW,MSP,5/27/2016,347,3144
LAS,DAL,5/25/2016,556,3144
DEN,SEA,5/26/2016,76,3144
HRL,AUS,5/14/2016,299,3144
SFO,PHX,5/12/2016,511,3144
MSP,DEN,5/19/2016,530,3145
DEN,SJC,5/22/2016,289,3145
BUR,SJC,5/14/2016,509,3145
JAX,BWI,5/1/2016,404,3145
ATL,LAX,5/27/2016,246,3145
